date,event
7/9/2024,JPMorgan ออกโรงเตือนนักเทรดคริปโตอย่าหวังสูง ขาขึ้นรอบนี้อาจไม่เป็นอย่างที่คิด!
7/9/2024,นักลงทุน Bitcoin ETF มองข้ามความผันผวน ทุ่มเงิน 295 ล้านดอลาร์ “ช้อนซื้อหลุม” หนุนตลาดพุ่ง
7/9/2024,"รัฐบาลเยอรมนีโอน Bitcoin เพิ่มอีก 1,000 BTC ท่ามกลางช่วงเวลาที่ตลาดผันผวน"
7/9/2024,นักวิเคราะห์เผย “Exchange netflow” ของ Bitcoin กำลังติดลบ สิ่งนี้กำลังบ่งบอกอะไร?
7/8/2024,นักเศรษฐศาสตร์ ‘Alex Krüger’ เผย 5 ปัจจัยที่จะจุดประกายให้ Bitcoin กลับมาเป็นขาขึ้นอีกครั้ง!
7/8/2024,"ข้อมูลเผยเยอรมนีถือ Bitcoin มหาศาล! เทขาย 10,000 BTC แต่ยังเหลืออีกเพียบ!"
7/8/2024,Monero แซงหน้า Bitcoin ครั้งแรก! ครองแชมป์อันดับ 1 สกุลเงินบนแพลตฟอร์ม Gift Card
7/7/2024,นักวิเคราะห์เชื่อตลาดขาขึ้นของ Bitcoin จะไปต่อยาว ๆ จนถึงต้นปี 2025
7/7/2024,"ค่าความยากในการขุด Bitcoin ร่วงแตะระดับต่ำสุดนับตั้งแต่เดือนมีนาคม หลัง Bitcoin แตะ 57,000 ดอลลาร์"
7/7/2024,0.1 BTC อาจพอสำหรับเกษียณในปี 2038
7/7/2024,Volume การทำธุรกรรมด้วย Bitcoin พุ่งขึ้นอย่างรุนแรง นักลงทุนต่างพากัน Buy The Dip
7/6/2024,"อย่าตกใจ! นักวิเคราะห์เผย Bitcoin ที่ถูกเทขายจากรัฐบาลมูลค่าไม่เกิน 10,000 ล้านดอลลาร์"
7/6/2024,เจ้ามือเทขาย Bitcoin เกือบ 2 พันล้านดอลลาร์ในช่วง 1 เดือนที่ผ่านมา
7/6/2024,"Bitcoin ยังสามารถร่วงไปถึง 45,000 ดอลลาร์ได้ ซึ่งถือเป็น “ปกติ”"
7/6/2024,สมาชิกรัฐสภาเยอรมันเรียกร้องให้รัฐบาล หยุดเทขาย Bitcoin เนื่องจาก BTC มีประโยชน์มากกว่านั้น
7/6/2024,เจ้ามือ Bitcoin ลึกลับโอน Bitcoin มูลกว่า 2.2 หมื่นล้านบาท เพิ่มความไม่สบายใจให้กับนักลงทุน
7/5/2024,นักวิเคราะห์ Bloomberg กล่าว Spot Ethereum ETF จะเป็นเพียง “ตัวประกอบ” ของ Bitcoin ETF เท่านั้น
7/5/2024,นักวิเคราะห์ชื่อดัง Jacob King คาด Bitcoin จาก Mt.Gox กว่า 8.2 พันล้านดอลลาร์ จะถูกเทขายทิ้งเกือบทั้งหมด!
7/5/2024,Mt. Gox โอน Bitcoin : สัญญาณบ่งบอก “จุดต่ำสุด” ของตลาดใกล้เข้ามา ?
7/5/2024,"5 รุ่นเท่านั้นที่รอด! F2Pool เผยเครื่องขุด Bitcoin ส่วนใหญ่ขุดขาดทุน หลังราคาร่วงทะลุ 54,000 ดอลลาร์"
7/5/2024,สิ้นสุดการรอคอย ! Mt. Gox ประกาศเริ่มชำระเงินคืนอย่างเป็นทางการในสกุล Bitcoin และ Bitcoin Cash
7/5/2024,เคราะห์ซ้ำกรรมซัด ! สัญญา Bitcoin และ Ethereum Option มูลค่า 1.54 พันล้านดอลลาร์ จะหมดอายุลงวันนี้
7/5/2024,Justin Sun เสนอ “ซื้อ Bitcoin ทั้งหมด” จริงหรือแค่กลยุทธ์ปั่นราคา?
7/5/2024,นักวิเคราะห์เผยการคืนหนี้ของ Mt. Gox อาจส่งผลกระทบต่อ ‘Bitcoin Cash’ มากกว่า ‘Bitcoin’
7/5/2024,ของจริงมาแล้ว ! Mt.Gox โอน Bitcoin มูลค่ากว่า 2.7 พันล้านดอลลาร์ ไปยังกระเป๋าเงินใหม่
7/5/2024,ราคา Bitcoin หลุด EMA 200 ทำนักเทรดกังวล แต่นักวิเคราะห์ชื่อดังชี้ “อย่าตกใจ มันเป็นเรื่องปกติ”
7/4/2024,Justin Sun วางแผนที่จะซื้อ Bitcoin จากรัฐบาลเยอรมัน 2.3 พันล้านดอลลาร์! เพื่อรักษาเสถียรภาพของตลาด
7/4/2024,Mt.Gox เปิดใช้งานกระเป๋าเงิน Wallet เตรียมชดใช้หนี้ ! นักเทรดเริ่มขวัญผวาหวั่นราคารูด
7/4/2024,El Salvador เดินหน้าซื้อ Bitcoin ต่อเนื่องไม่หวั่นแม้วันตลาด ‘นองเลือด’
7/4/2024,ข้อมูลเผยการค้นหาคำว่า ‘ซื้อหลุม’ พุ่งสูงขึ้นบนโซเชียล ! ท่ามกลางราคา Bitcoin ที่ร่วงลดลง
7/3/2024,"ราคา Bitcoin ร่วงต่ำกว่า 60,000 ดอลลาร์อีกครั้ง ท่ามกลางกระแส Mt.Gox และ Ethereum ETF"
7/3/2024,Ethereum มาแรงต่อเนื่อง! หลังรายได้เครือข่ายพุ่งแซง Bitcoin มากกว่า 100% ในรายปี
7/3/2024,กลุ่มนักขุดชาวจีนควบคุมอัตราแฮชของ Bitcoin มากกว่า 50%! แม้จะถูกรัฐบาลสั่งแบน อะไรคือสาเหตุ?
7/3/2024,นักวิเคราะห์จาก K33 Research คาด Ethereum จะมีประสิทธิภาพเหนือกว่า Bitcoin หลังจากการเปิดตัว Spot ETF
7/3/2024,“อ.ตั๊ม” ฟาดแรง ขโมยไฟหลวงขุด Bitcoin ชี้ไม่ต่างจากพิมพ์เงินรัฐ ซัดเดือดรบกวนประชาชน
7/3/2024,“จุดสิ้นสุดของ Bitcoin” หรือไม่? นักวิเคราะห์เผย 3 สัญญาณอันตราย
7/3/2024,แรงเทขาย Bitcoin ในเดือนกรกฎาคมจากนักขุดชะลอตัว !  นี่จะมีผลอย่างไรก็ต่อราคา Bitcoin?
7/2/2024,"กระแสเงินไหลเข้ารวม Bitcoin ETF พุ่งแตะจุดสูงสุดในรอบเดือน หลังราคาฟื้นตัวเหนือ 63,000 ดอลลาร์"
7/2/2024,รัฐบาลเยอรมันโอน Bitcoin เพิ่มอีก 1.9 พันล้านบาท! นักลงทุนหวั่นอาจเกิดการเทขายครั้งใหญ่ขึ้น
7/2/2024,Mercari ยักษ์ใหญ่อีคอมเมิร์ซญี่ปุ่น ประกาศจัดแคมเปญแจก Bitcoin ฟรี หวังกระตุ้นยอดขาย
7/2/2024,รายงานเผย นักลงทุน Bitcoin จำนวนมากวางคำสั่งซื้อ BTC มูลค่า 500 ล้านดอลลาร์ต่ำกว่าราคาตลาด
7/2/2024,"เปิดปัจจัยหนุนการกลับมาอย่างร้อนแรง หลังราคา Bitcoin พุ่งทะลุระดับ 63,000 ดอลลาร์"
7/1/2024,"จำนวนตู้ ATM Bitcoin เพิ่มขึ้นแตะ 38,000 เครื่องทั่วโลก! ตอกย้ำกระแสคริปโตที่พุ่งอย่างก้าวกระโดด"
7/1/2024,ผู้เชี่ยวชาญเผย การคืน Bitcoin ให้เจ้าหนี้ของ Mt.Gox อาจไม่ได้น่ากลัวอย่างที่คิด!
7/1/2024,"เยอรมนีส่งสัญญาณหมี? โอน Bitcoin 1,500 BTC เข้าสู่เว็บเทรดคริปโต มูลค่ากว่า 3.5 พันล้านบาท"
7/1/2024,เตรียมตัวให้ดี ! Mt. Gox เริ่มแจกจ่าย Bitcoin มูลค่า 9 พันล้านดอลลาร์ให้กับเจ้าหนี้ในสัปดาห์นี้
7/1/2024,ประวัติศาสตร์ชี้ ! บิทคอยน์มักพุ่งในเดือนกรกฏาคม การันตีด้วยข้อมูลสถิติ 11 ปี
7/1/2024,นักเทรดรายย่อยบน Binance มองบวก! 75% เปิด Long Bitcoin ในช่วง 24 ชั่วโมงที่ผ่านมา
6/30/2024,นักวิเคราะห์กล่าว การย่อของ Bitcoin เมื่อเร็ว ๆ นี้ เป็นการย่อเพื่อพุ่งได้ไกลกว่าเดิม
6/30/2024,Peter Schiff เตือน! ข่าวร้ายสำหรับนักลงทุน Bitcoin ETF กำลังจะเกิดขึ้น
6/29/2024,ผู้ใช้งานจ่ายค่าธรรมเนียม Bitcoin เกือบเท่ากับ Ethereum ในไตรมาสที่ 2 ปี 2024
6/29/2024,"นักวิเคราะห์เตือน! Bitcoin เตรียมร่วงถึง 55,000 ดอลลาร์ในอีกไม่นาน"
6/29/2024,ดร.โสภณแนะหากต้องลุ้นเก็งกำไรจาก Bitcoin ทุกวินาทีขายไอศกรีมยังสร้างสรรค์กว่า
6/29/2024,นักเทรดระดับตำนาน John Bollinger ชี้ Bitcoin ยังคงอยู่ในช่วง ‘พักฐาน’ ในปัจจุบัน
6/29/2024,"ราคา Bitcoin ยังทรงตัวเหนือ 60,000 ดอลลาร์ ท่ามกลางความกังวลเรื่องแนวรับและข้อมูล PCE"
6/28/2024,ความเชื่อมั่นของนักลงทุนที่มีต่อ Bitcoin ลดลงต่อเนื่อง หรือนี่จะเป็นสัญญาณการกลับตัว?
6/28/2024,Robert Kiyosaki ลั่น ! กองทุน Bitcoin ETF เป็นของ ‘ปลอม’ อะไรคือสาเหตุ?
6/28/2024,จำนวนผู้ถือ Bitcoin เต็มเหรียญพุ่งทะลุ 1 ล้านราย แม้ตลาดยังไม่ฟื้นเต็มที่
6/28/2024,นักวิเคราะห์ชื่อดัง ‘Willy Woo’ ชี้ เป็นโอกาสดี ที่ราคา Bitcoin ได้ผ่านจุดต่ำสุดไปเรียบร้อยแล้ว
6/28/2024,Bitcoin ยังคงอ่อนแรง ! นักวิเคราะห์คาดอาจดีดตัวกลับ แม้รัฐบาลสหรัฐฯ-เยอรมันเทขาย
6/27/2024,รายงานเผย กระเป๋าเงิน Bitcoin ที่ถือครอง BTC มากกว่า 1 BTC ทะลุ 1 ล้านใบแล้ว!
6/27/2024,กระเป๋า Bitcoin ที่อยู่มาตั้งแต่ยุค Satoshi ก่อนโอน 50 BTC ไปที่ Binance หลังหลับไหลมานานกว่า 14 ปี
6/27/2024,กระเป๋าเงินของนักขุดยุค Satoshi ฟื้นคืนชีพ ! โอน 50 BTC ไปยัง Binance หลังหลับใหลไปนาน 14 ปี
6/27/2024,นักวิเคราะห์คาดการณ์ Bitcoin จะต้องรออีกกี่ปีถึงจะเทียบขนาดกับ ดอลลาร์สหรัฐฯ ได้
6/26/2024,ดร.โสภณ ประกาศชัด “ไม่ได้หิวแสง แต่ต้องการออกมาให้ความรู้อีกด้านของ Bitcoin!”
6/26/2024,Matt Gaetz สส.จากพรรค Republican เดินหน้าเต็มกำลัง! เสนอกฎหมายจ่ายภาษีบุคคลธรรมดาด้วย Bitcoin
6/26/2024,นักวิเคราะห์ CryptoQuant เตือน! “Bitcoin อาจร่วงหนัก หากไม่สามารถรักษาแนวรับนี้ได้”
6/26/2024,โพลสำรวจเผย ชุมชน Bitcoin เชื่อมั่นสุดใจ !เหรียญจะโตขึ้น 40% ทุกปีไปตลอดสิบปีข้างหน้า
6/26/2024,หรือขาขึ้นกำลังจะกลับมา ? ผลวิจัยชี้อุปทาน Bitcoin ในเอเชียเพิ่มขึ้นสองเท่า เหมือนช่วงปี 2017
6/26/2024,"เจาะตลาดคริปโต ! จะเกิดอะไรขึ้นบ้าง หากราคา Bitcoin หลุดแนวรับสำคัญที่ 57,000 ดอลลาร์ ?"
6/25/2024,"ราคา Bitcoin ดีดกลับ $62,000 ในขณะนี้ตลาดเริ่มฟื้นตัว ท่ามกลางแรงขายที่หนักสุดในรอบปี"
6/25/2024,"Bitcoin ETF เผชิญปัญหาเงินไหลออกติดต่อกัน 7 วันแล้ว หลังราคา Bitcoin ร่วงลงต่ำกว่า 60,000 ดอลลาร์ในวันนี้"
6/25/2024,ได้ทีขี่แพะไล่ : Peter Schiff ซัด Bitcoin ลงเท่านี้แค่เริ่มต้น เดี๋ยวของจริงมาจะหนักกว่านี้ !
6/25/2024,ดัชนีความกลัวและความโลภของ Bitcoin ลดลงแตะจุดต่ำสุดในรอบ 18 เดือน! เข้าสู่โซนแห่ง ‘ความกลัว’
6/25/2024,หัวหน้าทีมวิจัย ‘CryptoQuant’ เผยขาขึ้น Bitcoin แผ่วขั้นสุดนับตั้งแต่กันยายน 2023
6/25/2024,"“พ่อรวยสอนลูก” แนะกลยุทธ์ Warren Buffett “ซื้อแล้วถือตลอดชาติ” แม้ราคา Bitcoin ร่วงเฉียด $57,000"
6/25/2024,นักวิเคราะห์ชื่อดัง “Dave the Wave” เตือน ! ราคา Bitcoin อาจปรับฐานลงอีกประมาณ 20%
6/25/2024,"มหาเศรษฐีชื่อดัง “Chamath Palihapitiya” เชื่อมั่น Bitcoin ไปถึง 500,000 แน่ใน ต.ค. ปีหน้า"
6/25/2024,ผู้เชี่ยวชาญชื่อดังแนะ ถึงเวลา “Buy The Dip” พร้อมเผยสาเหตุสำคัญทำไมต้องซื้อ !
6/24/2024,"3 เหตุผลสำคัญ ที่เป็นปัจจัยหลักที่ทำให้ราค Bitcoin ดิ่งแรงเกือบหลุดระดับ $60,000 ในวันนี้"
6/24/2024,JPMorgan เผย อุตสาหกรรมการขุด Bitcoin กำลังดึงดูดความสนใจจากนักลงทุนเพิ่มขึ้นจากการมาของ AI
6/24/2024,MicroStrategy แห่งเอเชีย ‘Metaplanet’ เล็งขยายพอร์ตคริปโตฯ ออกพันธบัตร 1 พันล้านเยน ซื้อ Bitcoin เพิ่ม
6/24/2024,Michael Saylor ชี้ ! Bitcoin จะสร้าง ‘ระบบเศรษกิจที่ไม่มีวันล่มสลาย’ มั่นใจ Bitcoin แตะ 10 ล้านดอลลาร์
6/24/2024,ผู้ใช้ Ethereum ยิ้มหวานค่าแก๊สถูกสุดในรอบ 4 ปี ขณะที่นักขุด Bitcoin โศกเศร้ากำไรหดหาย !
6/23/2024,Naval Ravikant นักลงทุนใน X ยุคแรกเริ่มมอง Bitcoin ว่าเป็น “ตัวจัดเก็บมูลค่าที่แท้จริง”
6/23/2024,ดร.โสภณเตือนอุปทานของ Bitcoin ที่มีจำนวนจำกัดนั้นมีความเปราะบางและมีความเสี่ยงสูง
6/23/2024,"นักวิเคราะห์เผยสาเหตุที่จะทำให้ Bitcoin ร่วงไปถึง 52,000 ดอลลาร์"
6/23/2024,นักลงทุน Bitcoin ระยะยาวกำลังเทขาย ในขณะที่ฝั่ง Ethereum ยังคงช้อนเพิ่มเรื่อย ๆ
6/22/2024,CEO ของ Dell โพสต์ภาพ cookie monster กำลังกิน Bitcoin หรือเขากำลังให้ความสนใจใน Bitcoin?
6/22/2024,"บริษัทวิเคราะห์เตือน! Bitcoin อาจร่วงไปถึง 60,000 ดอลลาร์"
6/22/2024,"นักเทรดพอร์ตแตกไปกว่า 100 ล้านดอลลาร์ หลังBitcoin ร่วงทะลุ 64,000 ดอลลาร์"
6/21/2024,"ราคา BTC ร่วงทะลุ 64,000 ดอลลาร์อย่างรุนแรง นักเทรดหนีตายจ้าละหวั่น"
6/21/2024,รายงานเผย ผู้ถือครอง Bitcoin กว่า 87% ยังอยู่ในสถานะ ‘กำไร’ แม้ตลาดซบเซา
6/21/2024,นักวิเคราะห์ Bernstein คาดการณ์ ราคา Bitcoin แตะ 2 แสนดอลลาร์ในปี 2025 นี้
6/20/2024,"ราคา Bitcoin ยังผันผวนหลัง ร่วงดิ่งเกือบ 3% ในช่วง 4 ชั่วโมงที่ผ่านมา หลุดระดับ $65,000 อีกครั้ง"
6/20/2024,จำนวน Bitcoin สำรองของนักขุดแตะจุดต่ำสุดในรอบ 14 ปี นักลงทุนควรกังวลหรือไม่?
6/20/2024,"MicroStrategy ซื้อ Bitcoin เพิ่มอีก 28,900 ล้านบาท! หลังเสร็จสิ้นการเสนอขายหุ้นกู้ไปไม่นานมานี้"
6/20/2024,"สายชอร์ตสะท้าน! เสี่ยงพอร์ตแตก 1.67 พันล้านดอลลาร์ หากราคา Bitcoin พุ่งแตะ $70,000"
6/20/2024,วิจัยใหม่เผย ! นักลงทุนสายถือยาว ยังยิ้มหวานกำไรกว่า 120% แม้ราคา Bitcoin ร่วงดิ่งเหว
6/20/2024,VanEck Bitcoin ETF เฉิดฉายบนตลาดหลักทรัพย์ออสเตรเลีย! ยอดซื้อขายพุ่งทะลุ 1.5 ล้านดอลลาร์
6/20/2024,จับกระแสคริปโต! ตลาดนัดในอังกฤษเปิดรับชำระเงินด้วย Bitcoin หวังดึงดูดนักลงทุน
6/20/2024,รัฐบาลเยอรมันย้าย Bitcoin มูลค่า $400 ล้าน นักลงทุนหวั่นอาจเกิดการเทขายครั้งใหญ่
6/20/2024,Bitcoin สำรองบนเว็บเทรด ร่วงแตะจุดต่ำสุดในรอบ 3 ปี! สัญญาณนี้บ่งบอกอะไร?
6/20/2024,เจ้ามือรายใหญ่ เทขาย Bitcoin ฟันกำไรเน้น ๆ 4.4 หมื่นล้านบาทในช่วง 2 สัปดาห์ที่ผ่านมา
6/20/2024,เอลซัลวาดอร์ เดิมพันอนาคตด้วย Bitcoin: นี่จะกลายเป็นสวรรค์ หรือ หายนะของประเทศ?
6/19/2024,Hashdex ลุยเจ้าแรก ! ยื่น SEC ขออนุมัติกองทุน ETF ที่รวมการซื้อขาย Bitcoin และ Ethereum
6/19/2024,นักวิเคราะห์เผย Bitcoin อาจจะเข้าสู่ช่วง ‘Banana Zone’ ที่ราคาพุ่งแรง หากตัวชี้วัด 3 ตัวนี้ปรากฏ
6/19/2024,Peter Schiff ฟาดหนัก ! ชี้ “Bitcoin ต้องการทองคำ แต่ทองคำไม่ต้องการ Bitcoin”
6/19/2024,El Salvador เสนอเปิดตัวธนาคาร Bitcoin พร้อมข้อได้เปรียบการลงทุนแบบไร้ข้อจำกัด!
6/19/2024,ราคา Bitcoin ร่วงต่ำสุดในรอบเดือน แต่ทำไมนักลงทุนขาใหญ่ยังมองสถานการณ์นี้ในแง่บวก?
6/19/2024,Peter Brandt ชี้ Bitcoin ทำรูปแบบกราฟตามรอยทองคำเมื่อปี 2008 แต่ราคาจะพุ่งทะยานหรือไม่?
6/18/2024,"ราคา Bitcoin ร่วงต่ำกว่า $65,000 อีกครั้ง! ทำนักลงทุนพอร์ตแตกรวมกว่า 444 ล้านดอลลาร์"
6/18/2024,กองทุน Bitcoin ETF เผชิญภาวะเงินไหลออกสามวันติดต่อกัน หลังราคาเหรียญลดลงอย่างต่อเนื่อง
6/18/2024,จำนวนเจ้ามือ Bitcoin พุ่งแตะจุดสูงสุดท่ามกลางราคาที่ลดลงอย่างต่อเนื่อง สิ่งนี้บอกอะไร?
6/18/2024,"ย้อนรอยตำนาน Bitcoin : นักพัฒนายุคแรกที่สูญเสีย 25,000 BTC คิดเป็นมูลค่ากว่า 1.6 พันล้านดอลลาร์"
6/18/2024,รายงานเผย เจ้ามือใหม่กำลังสะสม Bitcoin อย่างแข็งขัน แม้ราคา BTC จะร่วงลง?
6/18/2024,ออสเตรเลียเปิดตัว Bitcoin ETF ตัวแรก หลังอนุมัติเรียบร้อย หวังดึงดูดนักลงทุนสถาบัน !
6/18/2024,รายงานเผย ผู้ถือ Bitcoin ระยะสั้นเทขายน้อยลง แม้ราคาผันผวน หรือนี่จะเป็นสัญญาณอะไรบางอย่าง?
6/17/2024,MicroStrategy มั่นใจ Bitcoin ! เพิ่มวงเงินเสนอขายหุ้นกู้เป็น 700 ล้านดอลลาร์
6/16/2024,นักวิเคราะห์ ‘Willy Woo’เผยผู้ถือ Bitcoin ระยะยาวในช่วงแรกกำลังทยอยเทขาย Bitcoin
6/16/2024,Bitcoin ที่สำรองไว้บนกระดานเทรด Coinbase ลดลง 15% นับตั้งแต่เดือนกุมภาพันธ์
6/15/2024,Peter Brandt นักเทรดรุ่นเก๋าออกโรงเตือน! Bitcoin กำลังจะร่วงอย่างรุนแรง
6/15/2024,Robert Kiyosaki เผย Bitcoin ยังไม่แพง!
6/15/2024,Donald Trump หมายมั่นให้สหรัฐฯผูกขาดอุตสาหกรรมเหมืองขุด Bitcoin
6/15/2024,"3 เหตุผล ! ที่ชี้ว่าทำไม Bitcoin ที่ระดับ $65,000 คือจุดต่ำสุดของของราคา BTC แล้ว"
6/15/2024,Rekt Capital ชี้ Bitcoin อาจถึงจุดสูงสุดเร็วกว่าที่คาดการณ์ เตือนนักลงทุนเตรียมรับมือกับการปรับฐาน
6/15/2024,"Michael Saylor เผยกฎ 21 ข้อในการถือ Bitcoin ระยะยาว พร้อมคาดราคา BTC พุ่งแตะ $8,000,000"
6/14/2024,Donald Trump ประกาศชัด! สหรัฐฯ ควรผูกขาดการขุด Bitcoin ทั้งโลกเอาไว้ เพื่อต่อต้านกับ CBDC
6/14/2024,เกิดอะไรขึ้น?! อัตราแฮชของ Bitcoin กลับมามีแนวโน้มขาลงครั้งแรกในรอบ 18 เดือน
6/14/2024,โซลูชันการปรับขนาดของ Bitcoin เติบโตอย่างรวดเร็ว TVL พุ่ง 105% ใน 30 วัน
6/14/2024,"นักคณิตศาสตร์ชื่อดัง เชื่อว่า ราคา Bitcoin จะพุ่งไปถึง $600,000 ในปีหน้า"
6/14/2024,ผู้บริหาร Fidelity มอง Bitcoin เป็น “ทองคำยุคใหม่” แต่ชี้เครือข่ายเติบโตช้าเกิน
6/14/2024,"โอกาสทอง ? เจ้ามือรายใหญ่ ช้อนซื้อทั้ง Bitcoin, Ethereum ราคาต่ำ หลังประกาศของ FED"
6/13/2024,ซีอีโอของ Tether ย้ำชัด! Bitcoin เป็นคริปโตเพียงสกุลเดียวที่กระจายศูนย์อย่างแท้จริง
6/13/2024,Bitcoin ETF มีเงินทุนไหลเข้าทะลุ 100 ล้านดอลลาร์อีกครั้ง หลังตัวเลข CPI ออกมาดีเกินคาด
6/13/2024,MicroStrategy ประกาศขายหุ้นมูลค่ากว่า 500 ล้านดอลลาร์ เพื่อนำรายได้มาซื้อ Bitcoin เพิ่มเติม
6/13/2024,"เจ้ามือซื้อ Bitcoin 20,600 BTC มูลค่า 1.4 พันล้านดอลลาร์ภายในวันเดียว ท่ามกลางการปรับฐานของตลาด"
6/13/2024,"เจ้ามือรายใหญ่สะสม Bitcoin แตะระดับก่อนตลาดกระทิงปี 2020 หรือ BTC พร้อมทะยานสู่ $70,000?"
6/12/2024,Bitcoin Runes ขึ้นแท่นมีโปรโตคอลที่ผู้ใช้งานเยอะที่สุด! ยืนเหนือ Ordinals และ BRC-20
6/12/2024,ตลาดคริปโตผันผวนหนัก! Bitcoin ETF ไหลออก 200 ล้านดอลลาร์ ก่อนเปิดเผยตัวเลขเงินเฟ้อวันนี้
6/12/2024,Bitcoin อาจไม่ใช่เงินสดอิเล็กทรอนิกส์อีกต่อไป ! หลังอุปทานหมุนเวียนลดลงต่ำสุดในรอบ 13 ปี
6/12/2024,“Donald Trump” ลั่น !  ต้องการให้ Bitcoin ที่เหลือทั้งหมดถูกขุดขึ้นในสหรัฐ ฯ​
6/12/2024,นักเทรดผวา ! เจ้ามือโอน Bitcoin มูลค่า 536 ล้านดอลลาร์ หลังไม่ได้เคลื่อนไหวมานานกว่า 5 ปี
6/12/2024,มหาเศรษฐีนักลงทุน Bill Miller IV ฟันธง! Bitcoin ยังมีราคาต่ำกว่า “มูลค่าที่แท้จริง”
6/12/2024,Bill Miller IV ย้ำ Bitcoin ยังมีมูลค่าต่ำกว่าที่ควรจะเป็น คาดการเปลี่ยนแปลงครั้งใหญ่จะเกิดขึ้นเร็วๆ นี้
6/12/2024,Peter Schiff เจ้าเดิม ออกหน้าเตือน ‘กองทุน ETF’ ก็ไม่สามารถช่วยอุตสาหกรรมคริปโตได้
6/12/2024,"เจ้ามือรายใหญ่ Bitcoin ตื่นอีกราย โอนย้าย 8,000 BTC สู่ Binance หรือนี่เป็นสัญญาณบางอย่าง?"
6/11/2024,สหภาพยุโรป กล่าวหา Bitcoin Lightning ว่าอาจเป็นช่องทางที่อาชญากรรมสามารถนำไปใช้ในทางที่ผิดได้
6/11/2024,MicroStrategy สาขาเอเชีย ‘Metaplanet’ ประกาศซื้อ Bitcoin เพิ่มอีก 250 ล้านเยน!
6/11/2024,“พ่อรวยสอนลูก” ชี้ Bitcoin เป็นวิธีที่ดีที่สุดในการเป็นเศรษฐี สบายกว่านั่งทำธุรกิจเองเยอะ
6/11/2024,"ICBC ธนาคารที่ใหญ่ที่สุดในโลก ยกย่องวิวัฒนาการ Bitcoin,Ethereum ในฐานะสินทรัพย์ทางการเงินที่ล้ำสมัย"
6/11/2024,"นักเศรษฐศาสตร์ชื่อดัง คาดราคา Bitcoin  อาจพุ่งแตะ 100,000 ดอลลาร์ ภายในสิ้นปีนี้"
6/11/2024,อัตรา Funding Bitcoin Futures พุ่งกระฉูด ส่งสัญญาณปรับฐานราคา Bitcoin หลังการประชุม FOMC
6/11/2024,Michael Saylor ประกาศความสำเร็จ ! กองทุน Bitcoin ETF ปัจจุบันถือครอง BTC มากกว่า 1 ล้าน BTC
6/11/2024,"เทียบกันชัดๆ Bitcoin ผลตอบแทนเฉลี่ยต่อปีชนะ Warren Buffett, ตลาดหุ้นสหรัฐฯ และทองคำ !"
6/10/2024,ต้องรออีกนานไหม? อะไรเป็นปัจจัยสำคัญที่ทำให้ราคา Bitcoin ยังไม่ขยับทำ New-High!
6/10/2024,Michael Saylor กล่าวยกย่อง ‘Satoshi’ ว่าเป็นผู้จุดประกายไฟในโลกไซเบอร์
6/10/2024,"พุ่งกี่โมง ? นักวิเคราะห์กล่าวว่า ‘เป็นเพียงเรื่องของเวลาเท่านั้น’ ก่อนที่ Bitcoin จะแตะ $74,000"
6/9/2024,ถึงเวลาที่จะซื้อ Bitcoin แล้วหรือยัง? Arthur Hayes มีคำตอบ
6/8/2024,ค่าธรรมเนียมธุรกรรมของ Bitcoin พุ่งทะยานแตะ $52 ชั่วขณะก่อนปรับตัวลง
6/8/2024,ความต้องการ Bitcoin เพิ่มขึ้นเป็น 5.5 ของกำลังการผลิต Bitcoin ในช่วง 1 เดือนที่ผ่านมา
6/8/2024,"Bitcoin จะร่วงไปถึง 50,000 ดอลลาร์ได้หรือไม่ นักวิเคราะห์มีคำตอบ!"
6/8/2024,"อัตราส่วน Long-to-Short แตะระดับต่ำสุดในรอบ 2 สัปดาห์ หลังราคา BTC หลุดระดับ $70,000"
6/8/2024,อ่วม ! ค่าธรรมเนียมเครือข่าย Bitcoin พุ่งขึ้นชั่วคราว เกือบแตะ 2 พันบาท ต่อ 1 ธุรกรรม
6/7/2024,ราคา Bitcoin ร่วงลงกว่า 1.8% หลังรายงานการจ้างงานสหรัฐฯ ล่าสุด ดีกว่าที่คาด
6/7/2024,ข้อมูลเผย เจ้ามือกำลังกว้านซื้อ Bitcoin มูลค่า 1 พันล้านดอลลาร์ทุกวัน เหมือนปี 2020
6/7/2024,ตามรอย MicroStrategy ! Semler Scientific เผยถือ Bitcoin 828 BTC และมีแผนซื้อเพิ่มอีก 150 ล้านดอลาร์
6/7/2024,"Willy Woo ชี้ หากราคา BTC ยืนเหนือ $72,000 ได้ นักเทรดสาย Short อาจสูญเงินกว่า 5 หมื่นล้านบาท !"
6/7/2024,"PlanB เผย ราคา Bitcoin อาจพุ่งแตะ $100,000 ในเร็ว ๆ นี้หลังสามารถยืนเหนือ $71,000 ได้สำเร็จ"
6/6/2024,"Standard Chartered คาดราคา Bitcoin แตะระดับ $100,000 หาก Donald Trump ชนะการเลือกตั้ง"
6/6/2024,ผู้เชี่ยวชาญชี้ทองคำทั้งโลกขุดได้อีก 19 ปี คนถือเก็งกำไรรอยาว ๆ แล้ว Bitcoin จะเหลืออีกกี่ปี ?
6/6/2024,"ข้อมูลเผยนักลงทุน Bitcoin ระยะยาว 100% อยู่ในโหมดกำไร หลังราคา Bitcoin พุ่งทะลุ $71,000!"
